"","SentenceID","Word","Region","deletion_rate","Surprisal","Label","critical_word","Sentence","Condition"
"17",2,"was",15,0.25,5.723,"exp.d.1","was","The insinuation that the teacher who the principal who excelled in leadership liked failed the student was only a malicious smear.","d"
"18",2,"was",15,0.3,5.7698125,"exp.d.1","was","The insinuation that the teacher who the principal who excelled in leadership liked failed the student was only a malicious smear.","d"
"19",2,"was",15,0.4,5.8886875,"exp.d.1","was","The insinuation that the teacher who the principal who excelled in leadership liked failed the student was only a malicious smear.","d"
"20",2,"was",15,0.5,5.98178571428571,"exp.d.1","was","The insinuation that the teacher who the principal who excelled in leadership liked failed the student was only a malicious smear.","d"
"21",2,"was",15,0.6,5.738375,"exp.d.1","was","The insinuation that the teacher who the principal who excelled in leadership liked failed the student was only a malicious smear.","d"
"22",2,"was",15,0.65,6.393,"exp.d.1","was","The insinuation that the teacher who the principal who excelled in leadership liked failed the student was only a malicious smear.","d"
"23",2,"was",15,0.7,6.3876875,"exp.d.1","was","The insinuation that the teacher who the principal who excelled in leadership liked failed the student was only a malicious smear.","d"
"24",2,"was",15,0.75,5.86675,"exp.d.1","was","The insinuation that the teacher who the principal who excelled in leadership liked failed the student was only a malicious smear.","d"
"25",2,"was",15,0.8,6.55891666666667,"exp.d.1","was","The insinuation that the teacher who the principal who excelled in leadership liked failed the student was only a malicious smear.","d"
"26",2,"was",15,0.9,6.303,"exp.d.1","was","The insinuation that the teacher who the principal who excelled in leadership liked failed the student was only a malicious smear.","d"
"27",3,"was",1,0.1,5.76,"exp.a.1","was","The insinuation was only a malicious smear.","a"
"28",3,"was",1,0.15,5.76,"exp.a.1","was","The insinuation was only a malicious smear.","a"
"29",3,"was",1,0.2,5.76,"exp.a.1","was","The insinuation was only a malicious smear.","a"
"30",3,"was",1,0.25,5.76,"exp.a.1","was","The insinuation was only a malicious smear.","a"
"31",3,"was",1,0.3,5.76,"exp.a.1","was","The insinuation was only a malicious smear.","a"
"32",3,"was",1,0.4,5.76,"exp.a.1","was","The insinuation was only a malicious smear.","a"
"33",3,"was",1,0.5,5.76,"exp.a.1","was","The insinuation was only a malicious smear.","a"
"34",3,"was",1,0.6,5.76,"exp.a.1","was","The insinuation was only a malicious smear.","a"
"35",3,"was",1,0.65,5.76,"exp.a.1","was","The insinuation was only a malicious smear.","a"
"36",3,"was",1,0.7,5.76,"exp.a.1","was","The insinuation was only a malicious smear.","a"
"37",3,"was",1,0.75,5.76,"exp.a.1","was","The insinuation was only a malicious smear.","a"
"38",3,"was",1,0.8,5.75883333333333,"exp.a.1","was","The insinuation was only a malicious smear.","a"
"39",3,"was",1,0.9,5.76,"exp.a.1","was","The insinuation was only a malicious smear.","a"
"40",4,"was",11,0.1,4.697125,"exp.c.1","was","The insinuation that the teacher who the principal liked failed the student was only a malicious smear.","c"
"41",4,"was",11,0.15,4.664,"exp.c.1","was","The insinuation that the teacher who the principal liked failed the student was only a malicious smear.","c"
"42",4,"was",11,0.2,5.12113333333333,"exp.c.1","was","The insinuation that the teacher who the principal liked failed the student was only a malicious smear.","c"
"43",4,"was",11,0.25,4.6815,"exp.c.1","was","The insinuation that the teacher who the principal liked failed the student was only a malicious smear.","c"
"44",4,"was",11,0.3,5.22446875,"exp.c.1","was","The insinuation that the teacher who the principal liked failed the student was only a malicious smear.","c"
"45",4,"was",11,0.4,5.25621875,"exp.c.1","was","The insinuation that the teacher who the principal liked failed the student was only a malicious smear.","c"
"46",4,"was",11,0.5,5.50157142857143,"exp.c.1","was","The insinuation that the teacher who the principal liked failed the student was only a malicious smear.","c"
"47",4,"was",11,0.6,5.986625,"exp.c.1","was","The insinuation that the teacher who the principal liked failed the student was only a malicious smear.","c"
"48",4,"was",11,0.65,6.14,"exp.c.1","was","The insinuation that the teacher who the principal liked failed the student was only a malicious smear.","c"
"49",4,"was",11,0.7,6.15075,"exp.c.1","was","The insinuation that the teacher who the principal liked failed the student was only a malicious smear.","c"
"50",4,"was",11,0.75,5.48,"exp.c.1","was","The insinuation that the teacher who the principal liked failed the student was only a malicious smear.","c"
"51",4,"was",11,0.8,5.45583333333333,"exp.c.1","was","The insinuation that the teacher who the principal liked failed the student was only a malicious smear.","c"
"52",4,"was",11,0.9,6.47375,"exp.c.1","was","The insinuation that the teacher who the principal liked failed the student was only a malicious smear.","c"
"53",5,"seemed",11,0.1,7.448,"exp.c.2","seemed","The certainty that the doctor who the colleague mistrusted cured the patients seemed hard to believe.","c"
"54",5,"seemed",11,0.15,7.379,"exp.c.2","seemed","The certainty that the doctor who the colleague mistrusted cured the patients seemed hard to believe.","c"
"55",5,"seemed",11,0.2,7.5458,"exp.c.2","seemed","The certainty that the doctor who the colleague mistrusted cured the patients seemed hard to believe.","c"
"56",5,"seemed",11,0.25,7.73,"exp.c.2","seemed","The certainty that the doctor who the colleague mistrusted cured the patients seemed hard to believe.","c"
"57",5,"seemed",11,0.3,7.7714375,"exp.c.2","seemed","The certainty that the doctor who the colleague mistrusted cured the patients seemed hard to believe.","c"
"58",5,"seemed",11,0.4,7.8438125,"exp.c.2","seemed","The certainty that the doctor who the colleague mistrusted cured the patients seemed hard to believe.","c"
"59",5,"seemed",11,0.5,7.97757142857143,"exp.c.2","seemed","The certainty that the doctor who the colleague mistrusted cured the patients seemed hard to believe.","c"
"60",5,"seemed",11,0.6,8.1685,"exp.c.2","seemed","The certainty that the doctor who the colleague mistrusted cured the patients seemed hard to believe.","c"
"61",5,"seemed",11,0.65,9.7445,"exp.c.2","seemed","The certainty that the doctor who the colleague mistrusted cured the patients seemed hard to believe.","c"
"62",5,"seemed",11,0.7,10.0448125,"exp.c.2","seemed","The certainty that the doctor who the colleague mistrusted cured the patients seemed hard to believe.","c"
"63",5,"seemed",11,0.75,10.63,"exp.c.2","seemed","The certainty that the doctor who the colleague mistrusted cured the patients seemed hard to believe.","c"
"64",5,"seemed",11,0.8,11.163,"exp.c.2","seemed","The certainty that the doctor who the colleague mistrusted cured the patients seemed hard to believe.","c"
"65",5,"seemed",11,0.9,9.676,"exp.c.2","seemed","The certainty that the doctor who the colleague mistrusted cured the patients seemed hard to believe.","c"
"66",6,"seemed",7,0.1,6.727625,"exp.b.2","seemed","The certainty that the doctor cured the patients seemed hard to believe.","b"
"67",6,"seemed",7,0.15,6.6255,"exp.b.2","seemed","The certainty that the doctor cured the patients seemed hard to believe.","b"
"68",6,"seemed",7,0.2,6.58726666666667,"exp.b.2","seemed","The certainty that the doctor cured the patients seemed hard to believe.","b"
"69",6,"seemed",7,0.25,6.5825,"exp.b.2","seemed","The certainty that the doctor cured the patients seemed hard to believe.","b"
"70",6,"seemed",7,0.3,6.7368125,"exp.b.2","seemed","The certainty that the doctor cured the patients seemed hard to believe.","b"
"71",6,"seemed",7,0.4,6.88640625,"exp.b.2","seemed","The certainty that the doctor cured the patients seemed hard to believe.","b"
"72",6,"seemed",7,0.5,6.98635714285714,"exp.b.2","seemed","The certainty that the doctor cured the patients seemed hard to believe.","b"
"73",6,"seemed",7,0.6,6.938875,"exp.b.2","seemed","The certainty that the doctor cured the patients seemed hard to believe.","b"
"74",6,"seemed",7,0.65,7.259,"exp.b.2","seemed","The certainty that the doctor cured the patients seemed hard to believe.","b"
"75",6,"seemed",7,0.7,8.0909375,"exp.b.2","seemed","The certainty that the doctor cured the patients seemed hard to believe.","b"
"76",6,"seemed",7,0.75,8.98975,"exp.b.2","seemed","The certainty that the doctor cured the patients seemed hard to believe.","b"
"77",6,"seemed",7,0.8,10.6683333333333,"exp.b.2","seemed","The certainty that the doctor cured the patients seemed hard to believe.","b"
"78",6,"seemed",7,0.9,10.68925,"exp.b.2","seemed","The certainty that the doctor cured the patients seemed hard to believe.","b"
"79",7,"seemed",1,0.1,7.448,"exp.a.2","seemed","The certainty seemed hard to believe.","a"
"80",7,"seemed",1,0.15,7.448,"exp.a.2","seemed","The certainty seemed hard to believe.","a"
"81",7,"seemed",1,0.2,7.448,"exp.a.2","seemed","The certainty seemed hard to believe.","a"
"82",7,"seemed",1,0.25,7.448,"exp.a.2","seemed","The certainty seemed hard to believe.","a"
"83",7,"seemed",1,0.3,7.448,"exp.a.2","seemed","The certainty seemed hard to believe.","a"
"84",7,"seemed",1,0.4,7.448,"exp.a.2","seemed","The certainty seemed hard to believe.","a"
"85",7,"seemed",1,0.5,7.44878571428572,"exp.a.2","seemed","The certainty seemed hard to believe.","a"
"86",7,"seemed",1,0.6,7.448,"exp.a.2","seemed","The certainty seemed hard to believe.","a"
"87",7,"seemed",1,0.65,7.448,"exp.a.2","seemed","The certainty seemed hard to believe.","a"
"88",7,"seemed",1,0.7,7.448,"exp.a.2","seemed","The certainty seemed hard to believe.","a"
"89",7,"seemed",1,0.75,7.448,"exp.a.2","seemed","The certainty seemed hard to believe.","a"
"90",7,"seemed",1,0.8,7.448,"exp.a.2","seemed","The certainty seemed hard to believe.","a"
"91",7,"seemed",1,0.9,7.448,"exp.a.2","seemed","The certainty seemed hard to believe.","a"
"92",8,"seemed",15,0.1,7.033,"exp.d.2","seemed","The certainty that the doctor who the colleague who discovered new therapies mistrusted cured the patients seemed hard to believe.","d"
"93",8,"seemed",15,0.15,7.5135,"exp.d.2","seemed","The certainty that the doctor who the colleague who discovered new therapies mistrusted cured the patients seemed hard to believe.","d"
"94",8,"seemed",15,0.2,7.5629,"exp.d.2","seemed","The certainty that the doctor who the colleague who discovered new therapies mistrusted cured the patients seemed hard to believe.","d"
"95",8,"seemed",15,0.25,10.52,"exp.d.2","seemed","The certainty that the doctor who the colleague who discovered new therapies mistrusted cured the patients seemed hard to believe.","d"
"96",8,"seemed",15,0.3,8.3860625,"exp.d.2","seemed","The certainty that the doctor who the colleague who discovered new therapies mistrusted cured the patients seemed hard to believe.","d"
"97",8,"seemed",15,0.4,9.22396875,"exp.d.2","seemed","The certainty that the doctor who the colleague who discovered new therapies mistrusted cured the patients seemed hard to believe.","d"
"98",8,"seemed",15,0.5,10.2836428571429,"exp.d.2","seemed","The certainty that the doctor who the colleague who discovered new therapies mistrusted cured the patients seemed hard to believe.","d"
"99",8,"seemed",15,0.6,10.460125,"exp.d.2","seemed","The certainty that the doctor who the colleague who discovered new therapies mistrusted cured the patients seemed hard to believe.","d"
"100",8,"seemed",15,0.65,10.428,"exp.d.2","seemed","The certainty that the doctor who the colleague who discovered new therapies mistrusted cured the patients seemed hard to believe.","d"
"101",8,"seemed",15,0.7,10.5335625,"exp.d.2","seemed","The certainty that the doctor who the colleague who discovered new therapies mistrusted cured the patients seemed hard to believe.","d"
"102",8,"seemed",15,0.75,10.8345,"exp.d.2","seemed","The certainty that the doctor who the colleague who discovered new therapies mistrusted cured the patients seemed hard to believe.","d"
"103",8,"seemed",15,0.8,10.1714166666667,"exp.d.2","seemed","The certainty that the doctor who the colleague who discovered new therapies mistrusted cured the patients seemed hard to believe.","d"
"104",8,"seemed",15,0.9,10.1115,"exp.d.2","seemed","The certainty that the doctor who the colleague who discovered new therapies mistrusted cured the patients seemed hard to believe.","d"
"105",9,"was",7,0.1,8.15975,"exp.b.3","was","The understanding that the president appointed the commander was entirely bogus.","b"
"106",9,"was",7,0.15,8.14,"exp.b.3","was","The understanding that the president appointed the commander was entirely bogus.","b"
"107",9,"was",7,0.2,8.20363333333333,"exp.b.3","was","The understanding that the president appointed the commander was entirely bogus.","b"
"108",9,"was",7,0.25,8.14,"exp.b.3","was","The understanding that the president appointed the commander was entirely bogus.","b"
"109",9,"was",7,0.3,8.2215,"exp.b.3","was","The understanding that the president appointed the commander was entirely bogus.","b"
"110",9,"was",7,0.4,8.16365625,"exp.b.3","was","The understanding that the president appointed the commander was entirely bogus.","b"
"111",9,"was",7,0.5,8.17014285714286,"exp.b.3","was","The understanding that the president appointed the commander was entirely bogus.","b"
"112",9,"was",7,0.6,8.157,"exp.b.3","was","The understanding that the president appointed the commander was entirely bogus.","b"
"113",9,"was",7,0.65,8.2715,"exp.b.3","was","The understanding that the president appointed the commander was entirely bogus.","b"
"114",9,"was",7,0.7,8.54575,"exp.b.3","was","The understanding that the president appointed the commander was entirely bogus.","b"
"115",9,"was",7,0.75,8.611,"exp.b.3","was","The understanding that the president appointed the commander was entirely bogus.","b"
"116",9,"was",7,0.8,9.36708333333333,"exp.b.3","was","The understanding that the president appointed the commander was entirely bogus.","b"
"117",9,"was",7,0.9,6.59175,"exp.b.3","was","The understanding that the president appointed the commander was entirely bogus.","b"
"118",10,"was",15,0.1,7.515875,"exp.d.3","was","The understanding that the president who the farmer who implemented agricultural policies admired appointed the commander was entirely bogus.","d"
"119",10,"was",15,0.15,6.806,"exp.d.3","was","The understanding that the president who the farmer who implemented agricultural policies admired appointed the commander was entirely bogus.","d"
"120",10,"was",15,0.2,7.96566666666667,"exp.d.3","was","The understanding that the president who the farmer who implemented agricultural policies admired appointed the commander was entirely bogus.","d"
"121",10,"was",15,0.25,9.873,"exp.d.3","was","The understanding that the president who the farmer who implemented agricultural policies admired appointed the commander was entirely bogus.","d"
"122",10,"was",15,0.3,8.282875,"exp.d.3","was","The understanding that the president who the farmer who implemented agricultural policies admired appointed the commander was entirely bogus.","d"
"123",10,"was",15,0.4,9.0125,"exp.d.3","was","The understanding that the president who the farmer who implemented agricultural policies admired appointed the commander was entirely bogus.","d"
"124",10,"was",15,0.5,9.21478571428571,"exp.d.3","was","The understanding that the president who the farmer who implemented agricultural policies admired appointed the commander was entirely bogus.","d"
"125",10,"was",15,0.6,9.081375,"exp.d.3","was","The understanding that the president who the farmer who implemented agricultural policies admired appointed the commander was entirely bogus.","d"
"126",10,"was",15,0.65,9.005,"exp.d.3","was","The understanding that the president who the farmer who implemented agricultural policies admired appointed the commander was entirely bogus.","d"
"127",10,"was",15,0.7,8.76375,"exp.d.3","was","The understanding that the president who the farmer who implemented agricultural policies admired appointed the commander was entirely bogus.","d"
"128",10,"was",15,0.75,8.8265,"exp.d.3","was","The understanding that the president who the farmer who implemented agricultural policies admired appointed the commander was entirely bogus.","d"
"129",10,"was",15,0.8,8.44233333333333,"exp.d.3","was","The understanding that the president who the farmer who implemented agricultural policies admired appointed the commander was entirely bogus.","d"
"130",10,"was",15,0.9,6.8845,"exp.d.3","was","The understanding that the president who the farmer who implemented agricultural policies admired appointed the commander was entirely bogus.","d"
"131",11,"was",11,0.1,5.83625,"exp.c.3","was","The understanding that the president who the farmer admired appointed the commander was entirely bogus.","c"
"132",11,"was",11,0.15,5.9845,"exp.c.3","was","The understanding that the president who the farmer admired appointed the commander was entirely bogus.","c"
"133",11,"was",11,0.2,6.66336666666667,"exp.c.3","was","The understanding that the president who the farmer admired appointed the commander was entirely bogus.","c"
"134",11,"was",11,0.25,6.423,"exp.c.3","was","The understanding that the president who the farmer admired appointed the commander was entirely bogus.","c"
"135",11,"was",11,0.3,6.5545625,"exp.c.3","was","The understanding that the president who the farmer admired appointed the commander was entirely bogus.","c"
"136",11,"was",11,0.4,7.46503125,"exp.c.3","was","The understanding that the president who the farmer admired appointed the commander was entirely bogus.","c"
"137",11,"was",11,0.5,7.29035714285714,"exp.c.3","was","The understanding that the president who the farmer admired appointed the commander was entirely bogus.","c"
"138",11,"was",11,0.6,8.168625,"exp.c.3","was","The understanding that the president who the farmer admired appointed the commander was entirely bogus.","c"
"139",11,"was",11,0.65,9.016,"exp.c.3","was","The understanding that the president who the farmer admired appointed the commander was entirely bogus.","c"
"140",11,"was",11,0.7,8.819375,"exp.c.3","was","The understanding that the president who the farmer admired appointed the commander was entirely bogus.","c"
"141",11,"was",11,0.75,8.595,"exp.c.3","was","The understanding that the president who the farmer admired appointed the commander was entirely bogus.","c"
"142",11,"was",11,0.8,8.48425,"exp.c.3","was","The understanding that the president who the farmer admired appointed the commander was entirely bogus.","c"
"143",11,"was",11,0.9,6.4285,"exp.c.3","was","The understanding that the president who the farmer admired appointed the commander was entirely bogus.","c"
"144",12,"was",1,0.1,5.608,"exp.a.3","was","The understanding was entirely bogus.","a"
"145",12,"was",1,0.15,5.608,"exp.a.3","was","The understanding was entirely bogus.","a"
"146",12,"was",1,0.2,5.608,"exp.a.3","was","The understanding was entirely bogus.","a"
"147",12,"was",1,0.25,5.608,"exp.a.3","was","The understanding was entirely bogus.","a"
"148",12,"was",1,0.3,5.6139375,"exp.a.3","was","The understanding was entirely bogus.","a"
"149",12,"was",1,0.4,5.608,"exp.a.3","was","The understanding was entirely bogus.","a"
"150",12,"was",1,0.5,5.608,"exp.a.3","was","The understanding was entirely bogus.","a"
"151",12,"was",1,0.6,5.608,"exp.a.3","was","The understanding was entirely bogus.","a"
"152",12,"was",1,0.65,5.608,"exp.a.3","was","The understanding was entirely bogus.","a"
"153",12,"was",1,0.7,5.608,"exp.a.3","was","The understanding was entirely bogus.","a"
"154",12,"was",1,0.75,5.608,"exp.a.3","was","The understanding was entirely bogus.","a"
"155",12,"was",1,0.8,5.61625,"exp.a.3","was","The understanding was entirely bogus.","a"
"156",12,"was",1,0.9,5.608,"exp.a.3","was","The understanding was entirely bogus.","a"
"157",13,"appeared",7,0.1,9.621375,"exp.b.4","appeared","The guess that the victim sued the criminal appeared on TV.","b"
"158",13,"appeared",7,0.15,9.514,"exp.b.4","appeared","The guess that the victim sued the criminal appeared on TV.","b"
"159",13,"appeared",7,0.2,9.60686666666667,"exp.b.4","appeared","The guess that the victim sued the criminal appeared on TV.","b"
"160",13,"appeared",7,0.25,9.514,"exp.b.4","appeared","The guess that the victim sued the criminal appeared on TV.","b"
"161",13,"appeared",7,0.3,10.30296875,"exp.b.4","appeared","The guess that the victim sued the criminal appeared on TV.","b"
"162",13,"appeared",7,0.4,10.04671875,"exp.b.4","appeared","The guess that the victim sued the criminal appeared on TV.","b"
"163",13,"appeared",7,0.5,10.5440714285714,"exp.b.4","appeared","The guess that the victim sued the criminal appeared on TV.","b"
"164",13,"appeared",7,0.6,10.5635,"exp.b.4","appeared","The guess that the victim sued the criminal appeared on TV.","b"
"165",13,"appeared",7,0.65,10.7815,"exp.b.4","appeared","The guess that the victim sued the criminal appeared on TV.","b"
"166",13,"appeared",7,0.7,11.768375,"exp.b.4","appeared","The guess that the victim sued the criminal appeared on TV.","b"
"167",13,"appeared",7,0.75,11.7735,"exp.b.4","appeared","The guess that the victim sued the criminal appeared on TV.","b"
"168",13,"appeared",7,0.8,13.5209166666667,"exp.b.4","appeared","The guess that the victim sued the criminal appeared on TV.","b"
"169",13,"appeared",7,0.9,13.2835,"exp.b.4","appeared","The guess that the victim sued the criminal appeared on TV.","b"
"170",14,"appeared",11,0.1,9.568875,"exp.c.4","appeared","The guess that the victim who the swimmer rescued sued the criminal appeared on TV.","c"
"171",14,"appeared",11,0.15,10.521,"exp.c.4","appeared","The guess that the victim who the swimmer rescued sued the criminal appeared on TV.","c"
"172",14,"appeared",11,0.2,9.99123333333333,"exp.c.4","appeared","The guess that the victim who the swimmer rescued sued the criminal appeared on TV.","c"
"173",14,"appeared",11,0.25,9.215,"exp.c.4","appeared","The guess that the victim who the swimmer rescued sued the criminal appeared on TV.","c"
"174",14,"appeared",11,0.3,10.28575,"exp.c.4","appeared","The guess that the victim who the swimmer rescued sued the criminal appeared on TV.","c"
"175",14,"appeared",11,0.4,11.02234375,"exp.c.4","appeared","The guess that the victim who the swimmer rescued sued the criminal appeared on TV.","c"
"176",14,"appeared",11,0.5,11.1139285714286,"exp.c.4","appeared","The guess that the victim who the swimmer rescued sued the criminal appeared on TV.","c"
"177",14,"appeared",11,0.6,11.8955,"exp.c.4","appeared","The guess that the victim who the swimmer rescued sued the criminal appeared on TV.","c"
"178",14,"appeared",11,0.65,12.273,"exp.c.4","appeared","The guess that the victim who the swimmer rescued sued the criminal appeared on TV.","c"
"179",14,"appeared",11,0.7,12.51,"exp.c.4","appeared","The guess that the victim who the swimmer rescued sued the criminal appeared on TV.","c"
"180",14,"appeared",11,0.75,12.1825,"exp.c.4","appeared","The guess that the victim who the swimmer rescued sued the criminal appeared on TV.","c"
"181",14,"appeared",11,0.8,12.1009166666667,"exp.c.4","appeared","The guess that the victim who the swimmer rescued sued the criminal appeared on TV.","c"
"182",14,"appeared",11,0.9,12.85425,"exp.c.4","appeared","The guess that the victim who the swimmer rescued sued the criminal appeared on TV.","c"
"183",15,"appeared",15,0.1,9.819875,"exp.d.4","appeared","The guess that the victim who the swimmer who administered first aid rescued sued the criminal appeared on TV.","d"
"184",15,"appeared",15,0.15,11.564,"exp.d.4","appeared","The guess that the victim who the swimmer who administered first aid rescued sued the criminal appeared on TV.","d"
"185",15,"appeared",15,0.2,11.025,"exp.d.4","appeared","The guess that the victim who the swimmer who administered first aid rescued sued the criminal appeared on TV.","d"
"186",15,"appeared",15,0.25,12.872,"exp.d.4","appeared","The guess that the victim who the swimmer who administered first aid rescued sued the criminal appeared on TV.","d"
"187",15,"appeared",15,0.3,11.812875,"exp.d.4","appeared","The guess that the victim who the swimmer who administered first aid rescued sued the criminal appeared on TV.","d"
"188",15,"appeared",15,0.4,12.338875,"exp.d.4","appeared","The guess that the victim who the swimmer who administered first aid rescued sued the criminal appeared on TV.","d"
"189",15,"appeared",15,0.5,12.9509285714286,"exp.d.4","appeared","The guess that the victim who the swimmer who administered first aid rescued sued the criminal appeared on TV.","d"
"190",15,"appeared",15,0.6,13.11625,"exp.d.4","appeared","The guess that the victim who the swimmer who administered first aid rescued sued the criminal appeared on TV.","d"
"191",15,"appeared",15,0.65,12.7905,"exp.d.4","appeared","The guess that the victim who the swimmer who administered first aid rescued sued the criminal appeared on TV.","d"
"192",15,"appeared",15,0.7,12.2844375,"exp.d.4","appeared","The guess that the victim who the swimmer who administered first aid rescued sued the criminal appeared on TV.","d"
"193",15,"appeared",15,0.75,11.5985,"exp.d.4","appeared","The guess that the victim who the swimmer who administered first aid rescued sued the criminal appeared on TV.","d"
"194",15,"appeared",15,0.8,12.0485833333333,"exp.d.4","appeared","The guess that the victim who the swimmer who administered first aid rescued sued the criminal appeared on TV.","d"
"195",15,"appeared",15,0.9,11.7855,"exp.d.4","appeared","The guess that the victim who the swimmer who administered first aid rescued sued the criminal appeared on TV.","d"
"196",16,"appeared",1,0.1,8.851,"exp.a.4","appeared","The guess appeared on TV.","a"
"197",16,"appeared",1,0.15,8.851,"exp.a.4","appeared","The guess appeared on TV.","a"
"198",16,"appeared",1,0.2,8.851,"exp.a.4","appeared","The guess appeared on TV.","a"
"199",16,"appeared",1,0.25,8.851,"exp.a.4","appeared","The guess appeared on TV.","a"
"200",16,"appeared",1,0.3,8.851,"exp.a.4","appeared","The guess appeared on TV.","a"
"201",16,"appeared",1,0.4,8.8628125,"exp.a.4","appeared","The guess appeared on TV.","a"
"202",16,"appeared",1,0.5,8.851,"exp.a.4","appeared","The guess appeared on TV.","a"
"203",16,"appeared",1,0.6,8.851,"exp.a.4","appeared","The guess appeared on TV.","a"
"204",16,"appeared",1,0.65,8.898,"exp.a.4","appeared","The guess appeared on TV.","a"
"205",16,"appeared",1,0.7,8.851,"exp.a.4","appeared","The guess appeared on TV.","a"
"206",16,"appeared",1,0.75,8.851,"exp.a.4","appeared","The guess appeared on TV.","a"
"207",16,"appeared",1,0.8,8.89758333333333,"exp.a.4","appeared","The guess appeared on TV.","a"
"208",16,"appeared",1,0.9,8.851,"exp.a.4","appeared","The guess appeared on TV.","a"
"209",17,"drove",14,0.1,10.701375,"exp.d.5","drove","The conviction that the guest who the cousin who taught yoga invited visited the uncle drove Jill crazy.","d"
"210",17,"drove",14,0.15,10.709,"exp.d.5","drove","The conviction that the guest who the cousin who taught yoga invited visited the uncle drove Jill crazy.","d"
"211",17,"drove",14,0.2,10.8527666666667,"exp.d.5","drove","The conviction that the guest who the cousin who taught yoga invited visited the uncle drove Jill crazy.","d"
"212",17,"drove",14,0.25,12.5725,"exp.d.5","drove","The conviction that the guest who the cousin who taught yoga invited visited the uncle drove Jill crazy.","d"
"213",17,"drove",14,0.3,11.18971875,"exp.d.5","drove","The conviction that the guest who the cousin who taught yoga invited visited the uncle drove Jill crazy.","d"
"214",17,"drove",14,0.4,11.85190625,"exp.d.5","drove","The conviction that the guest who the cousin who taught yoga invited visited the uncle drove Jill crazy.","d"
"215",17,"drove",14,0.5,11.9986428571429,"exp.d.5","drove","The conviction that the guest who the cousin who taught yoga invited visited the uncle drove Jill crazy.","d"
"216",17,"drove",14,0.6,11.990625,"exp.d.5","drove","The conviction that the guest who the cousin who taught yoga invited visited the uncle drove Jill crazy.","d"
"217",17,"drove",14,0.65,11.6375,"exp.d.5","drove","The conviction that the guest who the cousin who taught yoga invited visited the uncle drove Jill crazy.","d"
"218",17,"drove",14,0.7,12.0179375,"exp.d.5","drove","The conviction that the guest who the cousin who taught yoga invited visited the uncle drove Jill crazy.","d"
"219",17,"drove",14,0.75,11.89175,"exp.d.5","drove","The conviction that the guest who the cousin who taught yoga invited visited the uncle drove Jill crazy.","d"
"220",17,"drove",14,0.8,11.92375,"exp.d.5","drove","The conviction that the guest who the cousin who taught yoga invited visited the uncle drove Jill crazy.","d"
"221",17,"drove",14,0.9,10.9395,"exp.d.5","drove","The conviction that the guest who the cousin who taught yoga invited visited the uncle drove Jill crazy.","d"
"222",18,"drove",7,0.1,9.908875,"exp.b.5","drove","The conviction that the guest visited the uncle drove Jill crazy.","b"
"223",18,"drove",7,0.15,10.073,"exp.b.5","drove","The conviction that the guest visited the uncle drove Jill crazy.","b"
"224",18,"drove",7,0.2,9.82463333333333,"exp.b.5","drove","The conviction that the guest visited the uncle drove Jill crazy.","b"
"225",18,"drove",7,0.25,9.833,"exp.b.5","drove","The conviction that the guest visited the uncle drove Jill crazy.","b"
"226",18,"drove",7,0.3,9.89403125,"exp.b.5","drove","The conviction that the guest visited the uncle drove Jill crazy.","b"
"227",18,"drove",7,0.4,10.024375,"exp.b.5","drove","The conviction that the guest visited the uncle drove Jill crazy.","b"
